70,46,01000110,0100,0110,"BIT 0,(HL)",BIT,0,(HL),2,16,Z,0,1,-
71,47,01000111,0100,0111,"BIT 0,A",BIT,0,A,2,8,Z,0,1,-
72,48,01001000,0100,1000,"BIT 1,B",BIT,1,B,2,8,Z,0,1,-
73,49,01001001,0100,1001,"BIT 1,C",BIT,1,C,2,8,Z,0,1,-
74,4A,01001010,0100,1010,"BIT 1,D",BIT,1,D,2,8,Z,0,1,-
75,4B,01001011,0100,1011,"BIT 1,E",BIT,1,E,2,8,Z,0,1,-
76,4C,01001100,0100,1100,"BIT 1,H",BIT,1,H,2,8,Z,0,1,-
77,4D,01001101,0100,1101,"BIT 1,L",BIT,1,L,2,8,Z,0,1,-
78,4E,01001110,0100,1110,"BIT 1,(HL)",BIT,1,(HL),2,16,Z,0,1,-
79,4F,01001111,0100,1111,"BIT 1,A",BIT,1,A,2,8,Z,0,1,-
80,50,01010000,0101,0000,"BIT 2,B",BIT,2,B,2,8,Z,0,1,-
81,51,01010001,0101,0001,"BIT 2,C",BIT,2,C,2,8,Z,0,1,-
82,52,01010010,0101,0010,"BIT 2,D",BIT,2,D,2,8,Z,0,1,-
83,53,01010011,0101,0011,"BIT 2,E",BIT,2,E,2,8,Z,0,1,-
84,54,01010100,0101,0100,"BIT 2,H",BIT,2,H,2,8,Z,0,1,-
85,55,01010101,0101,0101,"BIT 2,L",BIT,2,L,2,8,Z,0,1,-
86,56,01010110,0101,0110,"BIT 2,(HL)",BIT,2,(HL),2,16,Z,0,1,-
87,57,01010111,0101,0111,"BIT 2,A",BIT,2,A,2,8,Z,0,1,-
88,58,01011000,0101,1000,"BIT 3,B",BIT,3,B,2,8,Z,0,1,-
89,59,01011001,0101,1001,"BIT 3,C",BIT,3,C,2,8,Z,0,1,-
90,5A,01011010,0101,1010,"BIT 3,D",BIT,3,D,2,8,Z,0,1,-
91,5B,01011011,0101,1011,"BIT 3,E",BIT,3,E,2,8,Z,0,1,-
92,5C,01011100,0101,1100,"BIT 3,H",BIT,3,H,2,8,Z,0,1,-
93,5D,01011101,0101,1101,"BIT 3,L",BIT,3,L,2,8,Z,0,1,-
94,5E,01011110,0101,1110,"BIT 3,(HL)",BIT,3,(HL),2,16,Z,0,1,-
95,5F,01011111,0101,1111,"BIT 3,A",BIT,3,A,2,8,Z,0,1,-
96,60,01100000,0110,0000,"BIT 4,B",BIT,4,B,2,8,Z,0,1,-
